original,view,ICA_mask,MCA_mask,ICA_coords,M1_coords
./atlas/original/Q19_ap_left,ap,./atlas/masks_ICA/Q19_ap_left.bmp,./atlas/masks_MCA/Q19_ap_left.bmp,"(604, 768)","(620, 676)"
./atlas/original/Q23_ap_right,ap,./atlas/masks_ICA/Q23_ap_right.bmp,./atlas/masks_MCA/Q23_ap_right.bmp,"(448, 632)","(412, 552)"
./atlas/original/Q33_ap_left,ap,./atlas/masks_ICA/Q33_ap_left.bmp,./atlas/masks_MCA/Q33_ap_left.bmp,"(492, 724)","(516, 648)"
./atlas/original/Q14_ap_right,ap,./atlas/masks_ICA/Q14_ap_right.bmp,./atlas/masks_MCA/Q14_ap_right.bmp,"(444, 712)","(392, 628)"
./atlas/original/Q24_ap_right,ap,./atlas/masks_ICA/Q24_ap_right.bmp,./atlas/masks_MCA/Q24_ap_right.bmp,"(432, 740)","(416, 664)"
./atlas/original/Q29_ap_left,ap,./atlas/masks_ICA/Q29_ap_left.bmp,./atlas/masks_MCA/Q29_ap_left.bmp,"(604, 644)","(608, 568)"
./atlas/original/Q15_ap_right,ap,./atlas/masks_ICA/Q15_ap_right.bmp,./atlas/masks_MCA/Q15_ap_right.bmp,"(468, 716)","(460, 636)"
./atlas/original/Q44_ap_left,ap,./atlas/masks_ICA/Q44_ap_left.bmp,./atlas/masks_MCA/Q44_ap_left.bmp,"(616, 836)","(628, 744)"
./atlas/original/Q08_ap_right,ap,./atlas/masks_ICA/Q08_ap_right.bmp,./atlas/masks_MCA/Q08_ap_right.bmp,"(468, 836)","(432, 752)"
./atlas/original/Q01_ap_left,ap,./atlas/masks_ICA/Q01_ap_left.bmp,./atlas/masks_MCA/Q01_ap_left.bmp,"(572, 824)","(600, 712)"
./atlas/original/Q32_ap_right,ap,./atlas/masks_ICA/Q32_ap_right.bmp,./atlas/masks_MCA/Q32_ap_right.bmp,"(480, 736)","(452, 644)"
./atlas/original/Q15_ap_left,ap,./atlas/masks_ICA/Q15_ap_left.bmp,./atlas/masks_MCA/Q15_ap_left.bmp,"(604, 728)","(616, 668)"
./atlas/original/Q29_lateral_left,lateral,./atlas/masks_ICA/Q29_lateral_left.bmp,./atlas/masks_MCA/Q29_lateral_left.bmp,"(672, 652)","(612, 584)"
./atlas/original/Q12_lateral_left,lateral,./atlas/masks_ICA/Q12_lateral_left.bmp,./atlas/masks_MCA/Q12_lateral_left.bmp,"(664, 708)","(624, 620)"
./atlas/original/Q28_lateral_right,lateral,./atlas/masks_ICA/Q28_lateral_right.bmp,./atlas/masks_MCA/Q28_lateral_right.bmp,"(660, 620)","(624, 552)"
./atlas/original/Q32_lateral_right,lateral,./atlas/masks_ICA/Q32_lateral_right.bmp,./atlas/masks_MCA/Q32_lateral_right.bmp,"(712, 656)","(648, 612)"
./atlas/original/Q14_lateral_right,lateral,./atlas/masks_ICA/Q14_lateral_right.bmp,./atlas/masks_MCA/Q14_lateral_right.bmp,"(700, 736)","(640, 680)"
./atlas/original/Q33_lateral_left,lateral,./atlas/masks_ICA/Q33_lateral_left.bmp,./atlas/masks_MCA/Q33_lateral_left.bmp,"(728, 684)","(656, 604)"
./atlas/original/Q09_lateral_left,lateral,./atlas/masks_ICA/Q09_lateral_left.bmp,./atlas/masks_MCA/Q09_lateral_left.bmp,"(736, 660)","(680, 604)"
./atlas/original/Q09_lateral_right,lateral,./atlas/masks_ICA/Q09_lateral_right.bmp,./atlas/masks_MCA/Q09_lateral_right.bmp,"(708, 600)","(644, 548)"
